run_name,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,n_samples,pdr_window_mean,delay_avg_ms_mean,rssi_avg_mean,etx_mean,radio_tx_percent_mean,energy_estimated_mj_mean,energy_radio_tx_mj_mean
run_0001_cfg_001_seed_1_mrhof,1,8,16,0,40.0,12,5,MRHOF,627,99.87170653907496,142.4066985645933,-73.63636363636364,1.0449122807017543,0.4104603455796123,3472.965639862201,12.855618855502392
run_0002_cfg_001_seed_2_mrhof,2,8,16,0,40.0,12,5,MRHOF,627,99.98405103668262,142.76555023923444,-73.27272727272727,1.05170653907496,0.4150791316648823,3472.95400059713,13.000278292822966
run_0003_cfg_001_seed_3_mrhof,3,8,16,0,40.0,12,5,MRHOF,627,99.90539074960128,141.2647527910686,-73.63636363636364,1.0434130781499202,0.4096573313036359,3472.9676635253595,12.830467613397127
run_0004_cfg_002_seed_1_of0,1,8,16,0,40.0,12,5,OF0,627,99.90574162679428,142.2854864433812,-73.59649122807018,1.0410845295055822,0.4114209049351003,3472.9632193224884,12.885702706220096
run_0005_cfg_002_seed_2_of0,2,8,16,0,40.0,12,5,OF0,627,99.93763955342902,142.35406698564594,-73.3030303030303,1.0545933014354067,0.4151848581700573,3472.953734155024,13.003589787559807
run_0006_cfg_002_seed_3_of0,3,8,16,0,40.0,12,5,OF0,627,99.85789473684213,140.91228070175438,-73.56459330143541,1.0372248803827753,0.4093735183481841,3472.96806517512,12.821573466028708
run_0007_cfg_003_seed_1_mrhof,1,8,16,0,40.0,12,10,MRHOF,627,99.93620414673046,137.93620414673046,-73.63636363636364,1.025470494417863,0.2263325473110095,3473.429641982775,7.088735356937798
run_0008_cfg_003_seed_2_mrhof,2,8,16,0,40.0,12,10,MRHOF,627,100.0,136.36204146730464,-73.36363636363636,1.030622009569378,0.2274046570972886,3473.426940264115,7.122313860287082
run_0009_cfg_003_seed_3_mrhof,3,8,16,0,40.0,12,10,MRHOF,627,99.94682615629984,136.26315789473685,-73.63636363636364,1.0243062200956938,0.2260972830957323,3473.4302348325364,7.081367081339712
run_0010_cfg_004_seed_1_of0,1,8,16,0,40.0,12,10,OF0,627,99.93620414673046,137.1244019138756,-73.62998405103669,1.0300637958532697,0.2263994486466411,3473.429473393302,7.090830683253588
run_0011_cfg_004_seed_2_of0,2,8,16,0,40.0,12,10,OF0,627,99.94151515151516,136.4433811802233,-73.46092503987241,1.029872408293461,0.2270378685149506,3473.428083230622,7.110826197129186
run_0012_cfg_004_seed_3_of0,3,8,16,0,40.0,12,10,OF0,627,100.0,135.6937799043062,-73.59011164274322,1.0243221690590112,0.2260826580698915,3473.430271701436,7.080908853588516
run_0013_cfg_005_seed_1_mrhof,1,8,16,0,40.0,12,20,MRHOF,627,100.0,134.2822966507177,-73.63636363636364,1.0217065390749602,0.1234982030834662,3473.688784528229,3.867963720574162
run_0014_cfg_005_seed_2_mrhof,2,8,16,0,40.0,12,20,MRHOF,627,100.0,133.792663476874,-73.27272727272727,1.0220893141945775,0.1240357459051877,3473.687429917704,3.884799594258373
run_0015_cfg_005_seed_3_mrhof,3,8,16,0,40.0,12,20,MRHOF,627,100.0,134.44976076555025,-73.63636363636364,1.0233333333333334,0.1236041875474055,3473.6885174430627,3.8712832076555017
run_0016_cfg_006_seed_1_of0,1,8,16,0,40.0,12,20,OF0,627,99.94682615629984,135.75279106858054,-73.66507177033493,1.0284529505582138,0.1238134794851456,3473.6879900248805,3.877838262200957
run_0017_cfg_006_seed_2_of0,2,8,16,0,40.0,12,20,OF0,627,100.0,132.45454545454547,-73.33811802232854,1.0187400318979267,0.1231706271707774,3473.689610005742,3.8577042143540665
run_0018_cfg_006_seed_3_of0,3,8,16,0,40.0,12,20,OF0,627,99.94682615629984,134.07974481658692,-73.69537480063796,1.0249920255183411,0.1238065497076023,3473.688007494737,3.877621136842105
run_0019_cfg_007_seed_1_mrhof,1,8,16,0,40.0,16,5,MRHOF,855,99.6143157894737,188.319298245614,-76.86666666666666,1.0953567251461989,0.556506074590395,3472.597221751579,17.429769263157894
run_0020_cfg_007_seed_2_mrhof,2,8,16,0,40.0,16,5,MRHOF,855,99.8466432748538,188.26315789473685,-76.88888888888889,1.1030409356725146,0.5610183556282622,3472.5862337459653,17.571094871578946
run_0021_cfg_007_seed_3_mrhof,3,8,16,0,40.0,16,5,MRHOF,855,99.53350877192982,185.9625730994152,-76.86666666666666,1.0926315789473684,0.5555861852522852,3472.599786837895,17.400959258947367
run_0022_cfg_008_seed_1_of0,1,8,16,0,40.0,16,5,OF0,855,99.78895906432749,189.40818713450287,-76.96842105263158,1.1078830409356726,0.567476560094622,3472.5699590063164,17.773366635789472
run_0023_cfg_008_seed_2_of0,2,8,16,0,40.0,16,5,OF0,855,99.8484912280702,188.6619883040936,-76.54269005847954,1.1005263157894738,0.5685399094408058,3472.567279376842,17.806670602105264
run_0024_cfg_008_seed_3_of0,3,8,16,0,40.0,16,5,OF0,855,99.68371929824562,193.5684210526316,-76.87836257309941,1.11306432748538,0.5842519097484407,3472.527411590176,18.29876995368421
run_0025_cfg_009_seed_1_mrhof,1,8,16,0,40.0,16,10,MRHOF,855,99.96100584795322,174.18011695906432,-76.86666666666666,1.046421052631579,0.2989750764033923,3473.246582916492,9.363898037894735
run_0026_cfg_009_seed_2_mrhof,2,8,16,0,40.0,16,10,MRHOF,855,99.93761403508772,172.62105263157895,-77.0,1.0491929824561403,0.29873651454853,3473.2471839831583,9.356427637894736
run_0027_cfg_009_seed_3_mrhof,3,8,16,0,40.0,16,10,MRHOF,855,99.84794152046784,172.4701754385965,-77.2,1.0407134502923978,0.2984505997853775,3473.2486873431585,9.347479275789471
run_0028_cfg_010_seed_1_of0,1,8,16,0,40.0,16,10,OF0,855,99.91811695906432,173.8982456140351,-77.0970760233918,1.0435438596491229,0.2991483154946011,3473.2461435256146,9.369325372631575
run_0029_cfg_010_seed_2_of0,2,8,16,0,40.0,16,10,OF0,855,99.93371929824562,173.77543859649123,-77.10526315789474,1.0468654970760234,0.3000717044051502,3473.2438192280706,9.398246736842104
run_0030_cfg_010_seed_3_of0,3,8,16,0,40.0,16,10,OF0,855,99.85183625730996,174.37076023391813,-77.22923976608188,1.0429707602339182,0.2982856935214916,3473.248320016842,9.342308362105262
run_0031_cfg_011_seed_1_of0,1,8,16,0,40.0,16,20,OF0,855,99.96100584795322,175.15438596491228,-77.24795321637427,1.0514035087719298,0.1625976296296296,3473.5902539733333,5.092557759999999
