run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0001_cfg_001_seed_1_mrhof,1,1,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0002_cfg_001_seed_2_mrhof,1,2,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0003_cfg_001_seed_3_mrhof,1,3,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0004_cfg_001_seed_4_mrhof,1,4,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0005_cfg_001_seed_5_mrhof,1,5,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0006_cfg_001_seed_6_mrhof,1,6,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0007_cfg_001_seed_7_mrhof,1,7,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0008_cfg_001_seed_8_mrhof,1,8,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0009_cfg_001_seed_9_mrhof,1,9,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0010_cfg_001_seed_10_mrhof,1,10,8,16,0,40.0,12,5,MRHOF,SUCCESS,627,
run_0011_cfg_002_seed_1_of0,2,1,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0012_cfg_002_seed_2_of0,2,2,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0013_cfg_002_seed_3_of0,2,3,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0014_cfg_002_seed_4_of0,2,4,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0015_cfg_002_seed_5_of0,2,5,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0016_cfg_002_seed_6_of0,2,6,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0017_cfg_002_seed_7_of0,2,7,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0018_cfg_002_seed_8_of0,2,8,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0019_cfg_002_seed_9_of0,2,9,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0020_cfg_002_seed_10_of0,2,10,8,16,0,40.0,12,5,OF0,SUCCESS,627,
run_0021_cfg_003_seed_1_mrhof,3,1,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0022_cfg_003_seed_2_mrhof,3,2,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0023_cfg_003_seed_3_mrhof,3,3,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0024_cfg_003_seed_4_mrhof,3,4,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0025_cfg_003_seed_5_mrhof,3,5,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0026_cfg_003_seed_6_mrhof,3,6,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0027_cfg_003_seed_7_mrhof,3,7,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0028_cfg_003_seed_8_mrhof,3,8,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0029_cfg_003_seed_9_mrhof,3,9,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0030_cfg_003_seed_10_mrhof,3,10,8,16,0,40.0,12,10,MRHOF,SUCCESS,627,
run_0031_cfg_004_seed_1_of0,4,1,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0032_cfg_004_seed_2_of0,4,2,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0033_cfg_004_seed_3_of0,4,3,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0034_cfg_004_seed_4_of0,4,4,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0035_cfg_004_seed_5_of0,4,5,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0036_cfg_004_seed_6_of0,4,6,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0037_cfg_004_seed_7_of0,4,7,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0038_cfg_004_seed_8_of0,4,8,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0039_cfg_004_seed_9_of0,4,9,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0040_cfg_004_seed_10_of0,4,10,8,16,0,40.0,12,10,OF0,SUCCESS,627,
run_0041_cfg_005_seed_1_mrhof,5,1,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0042_cfg_005_seed_2_mrhof,5,2,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0043_cfg_005_seed_3_mrhof,5,3,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0044_cfg_005_seed_4_mrhof,5,4,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0045_cfg_005_seed_5_mrhof,5,5,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0046_cfg_005_seed_6_mrhof,5,6,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0047_cfg_005_seed_7_mrhof,5,7,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0048_cfg_005_seed_8_mrhof,5,8,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0049_cfg_005_seed_9_mrhof,5,9,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0050_cfg_005_seed_10_mrhof,5,10,8,16,0,40.0,12,20,MRHOF,SUCCESS,627,
run_0051_cfg_006_seed_1_of0,6,1,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0052_cfg_006_seed_2_of0,6,2,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0053_cfg_006_seed_3_of0,6,3,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0054_cfg_006_seed_4_of0,6,4,8,16,0,40.0,12,20,OF0,SUCCESS,627,
run_0055_cfg_006_seed_5_of0,6,5,8,16,0,40.0,12,20,OF0,SUCCESS,627,
